Stastics for ICV command estimator.  Version 7
Master: SUSE.64 Release J-2014.06.SP2.HF1.4116 2014/09/29 
Run date: 2015-03-31
Turbo=lite
DMEM: 2577 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2583 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2589 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2595 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2601 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2607 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2613 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2619 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2625 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2631 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2637 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2643 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2649 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2651 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2657 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2663 1962 8 7356160:212087000 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _create_layer_dp
DMEM: 2669 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2671 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2691 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2710 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
DMEM: 2724 1962 1 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 _empty_layer
